Train signal size,Train background size,Validation signal size,Validation background size,Loss,ACC,AUC,Loss-true,ACC-true,AUC-true,Sample Type,Model Name,TPR/FPR^0.5: FPR=0.1,TPR/FPR^0.5: FPR=0.01,TPR/FPR^0.5: FPR=0.001,Training epochs,time
15687,16321,3921,4079,0.6918529868125916,0.52375,0.5229963450118262,0.6579428911209106,0.813,0.879346595,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.183236496580249,2.217,1.198503233203816,24,2024-04-23 16:39:38.684138
15687,16321,3921,4079,0.6910417079925537,0.5235,0.5200760809263163,0.6132549047470093,0.8759,0.9428296300000002,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.672757078374314,5.22,8.3705489664657,22,2024-04-23 16:41:49.460404
15687,16321,3921,4079,0.6911787986755371,0.527625,0.5276854865701052,0.5678300857543945,0.8817,0.947427815,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.7214561543409075,5.496999999999999,7.870909096159097,31,2024-04-23 16:43:08.684132
15687,16321,3921,4079,0.6910011768341064,0.522625,0.5245357267169025,0.6026716232299805,0.847,0.920742,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.4169288156666924,4.488,7.96261514830398,28,2024-04-23 16:45:24.819137
15687,16321,3921,4079,0.6912493705749512,0.526875,0.5248600719818274,0.603675127029419,0.8659,0.93864583,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.6091952974049297,4.159999999999999,5.571933237216685,17,2024-04-23 16:46:10.916380
15687,16321,3921,4079,7.775204658508301,0.509875,0.5,7.624600887298584,0.5,0.5,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,3.162277660168379,10.0,31.6227766016838,12,2024-04-23 16:46:47.936530
15687,16321,3921,4079,7.775204658508301,0.509875,0.5,7.624600887298584,0.5,0.5,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,3.162277660168379,10.0,31.6227766016838,12,2024-04-23 16:47:49.725366
15687,16321,3921,4079,0.6915237307548523,0.523625,0.524958891777724,0.6359224319458008,0.81685,0.8828067049999999,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.1841851798783,2.157,1.8372833205578285,20,2024-04-23 16:48:43.685310
15687,16321,3921,4079,0.6912634968757629,0.523625,0.5245698337707853,0.5771681070327759,0.86095,0.92672116,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.5725128765469765,5.096,9.142144715546786,27,2024-04-23 16:50:08.241928
15687,16321,3921,4079,0.6910324692726135,0.523375,0.5245557032590025,0.5815013647079468,0.8765,0.943291455,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.688884694441173,5.401,8.873351114432474,24,2024-04-23 16:51:26.372678
