Train signal size,Train background size,Validation signal size,Validation background size,Loss,ACC,AUC,Loss-true,ACC-true,AUC-true,Sample Type,Model Name,TPR/FPR^0.5: FPR=0.1,TPR/FPR^0.5: FPR=0.01,TPR/FPR^0.5: FPR=0.001,Training epochs,time
31374,32642,3921,4079,0.6918414235115051,0.524125,0.5251708807166595,0.6071762442588806,0.86755,0.940643905,"Sensitivity: 5.0, Resolution: 25x25, Copy: +1",SB_5.0_copy_1_25x25,2.577256293037229,3.997,3.750461304959698,23,2024-03-23 23:42:17.931592
15137,16187,3784,4046,0.6918806433677673,0.5241379310344828,0.5184552461701009,0.6859361529350281,0.6188,0.6289068599999998,"Sensitivity: 0.0, Resolution: 25x25",SB_0.0_25x25,0.6514291979946861,0.0449999999999999,0.0126491106406735,20,2024-03-23 23:43:23.121713
15797,16347,3949,4086,0.6912859678268433,0.5249533291848164,0.5253212552060306,0.6122187972068787,0.86535,0.93581551,"Sensitivity: 6.0, Resolution: 25x25",SB_6.0_25x25,2.581051026229431,4.087,3.9433602422299696,31,2024-03-23 23:43:23.152834
15247,16213,3811,4052,0.6921311020851135,0.5232099707490779,0.5154441680872355,0.6839478015899658,0.6109,0.63601984,"Sensitivity: 1.0, Resolution: 25x25",SB_1.0_25x25,0.6479506925685009,0.054,0.0126491106406735,24,2024-03-23 23:44:36.074161
15907,16374,3976,4092,0.6901635527610779,0.5275161130391671,0.5282950144660731,0.5740724802017212,0.8873,0.953378345,"Sensitivity: 7.0, Resolution: 25x25",SB_7.0_25x25,2.754343842006658,4.941999999999999,6.590186643790903,28,2024-03-23 23:44:45.813613
15357,16240,3839,4059,0.692105233669281,0.5232970372246138,0.5163530873509972,0.6718590259552002,0.7104,0.75644406,"Sensitivity: 2.0, Resolution: 25x25",SB_2.0_25x25,1.2598514198110822,0.155,0.0474341649025256,23,2024-03-23 23:45:46.762019
16017,16401,4004,4099,0.6900267004966736,0.5293101320498581,0.532245962137399,0.5768905878067017,0.90115,0.96332729,"Sensitivity: 8.0, Resolution: 25x25",SB_8.0_25x25,2.85016085510976,5.848999999999999,7.6305759939863,34,2024-03-23 23:46:16.853055
15467,16267,3866,4066,0.6920127272605896,0.5249621785173979,0.5183002191720726,0.6354588866233826,0.82045,0.888608785,"Sensitivity: 3.0, Resolution: 25x25",SB_3.0_25x25,2.1746983468977943,1.469,0.68305197459637,35,2024-03-23 23:47:13.407330
16127,16428,4031,4106,0.6888788938522339,0.5286960796362296,0.5319161302632316,0.5466333031654358,0.90985,0.96794698,"Sensitivity: 9.0, Resolution: 25x25",SB_9.0_25x25,2.9077143085248247,6.288,8.93975894529601,30,2024-03-23 23:47:39.225681
15577,16294,3894,4072,0.6918876767158508,0.5236003012804419,0.5228203583569706,0.6397900581359863,0.80385,0.86873983,"Sensitivity: 4.0, Resolution: 25x25",SB_4.0_25x25,2.010576136335056,1.237,0.5470740352091297,18,2024-03-23 23:48:15.041031
16237,16455,4059,4113,0.6878060698509216,0.5320606950562897,0.5355191870553633,0.5299413800239563,0.9129,0.971166055,"Sensitivity: 10.0, Resolution: 25x25",SB_10.0_25x25,2.9222607857615994,6.48,8.228246471758123,36,2024-03-23 23:49:12.372268
15687,16321,3921,4079,0.691319465637207,0.525375,0.5241013697905539,0.5794287323951721,0.8808,0.94282695,"Sensitivity: 5.0, Resolution: 25x25",SB_5.0_25x25,2.718610104446756,5.332,6.587024366130735,39,2024-03-23 23:49:49.638205
31594,32694,3949,4086,0.6911954879760742,0.5264467952706907,0.5261440314573713,0.6005924344062805,0.8711,0.94106992,"Sensitivity: 6.0, Resolution: 25x25, Copy: +1",SB_6.0_copy_1_25x25,2.5914865425079867,3.991,3.64926841983431,20,2024-03-23 23:50:36.134841
