Train signal size,Train background size,ACC,AUC,ACC-true,AUC-true,Sample Type,time
180417,165624,0.6061536073684692,0.6408786384085858,0.5044999718666077,0.45979216,"500 GeV: With signal, no Higgs pT, m",2023-11-28 13:40:50.063756
180127,165669,0.6078288555145264,0.6402078766942259,0.5296000242233276,0.56852908,"500 GeV: No signal, no Higgs pT, m",2023-11-28 13:41:20.537212
180417,165624,0.6011599898338318,0.6358900035232262,0.5266000032424927,0.57418518,"500 GeV: With signal, no Higgs pT, m",2023-11-28 13:46:51.235918
180417,165624,0.603708803653717,0.6361189156593854,0.5583000183105469,0.59689484,"500 GeV: With signal, no Higgs pT, m",2023-11-28 13:52:31.825186
180127,165669,0.6556660532951355,0.709574054174745,0.5396000146865845,0.54715844,"500 GeV: No signal, no Higgs pT, m",2023-11-28 13:59:19.135211
180417,165624,0.6044890880584717,0.6381734917881727,0.5123999714851379,0.48190392,"500 GeV: With signal, no Higgs pT, m",2023-11-28 14:00:16.429485
180127,165669,0.6063193082809448,0.6380923421732975,0.5128999948501587,0.55191956,"500 GeV: No signal, no Higgs pT, m",2023-11-28 14:06:37.976504
180417,165624,0.606985867023468,0.6399776586806873,0.5055999755859375,0.54514478,"500 GeV: With signal, no Higgs pT, m",2023-11-28 14:06:54.360348
180417,165624,0.6554396748542786,0.7090722871158328,0.5493000149726868,0.543233,"500 GeV: With signal, no Higgs pT, m",2023-11-28 14:23:32.801470
180127,165669,0.6565248966217041,0.7150304788755127,0.5339000225067139,0.52207796,"500 GeV: No signal, no Higgs pT, m",2023-11-28 14:31:27.222051
180127,165669,0.6524907350540161,0.7081738625562599,0.5430999994277954,0.52582204,"500 GeV: No signal, no Higgs pT, m",2023-11-28 14:49:42.373163
180127,165669,0.6051220893859863,0.6374736641857816,0.5091999769210815,0.47503248,"500 GeV: No signal, no Higgs pT, m",2023-11-28 14:56:05.819265
180127,165669,0.6527249813079834,0.708182864490036,0.5498999953269958,0.5479438000000001,"500 GeV: No signal, no Higgs pT, m",2023-11-28 15:19:04.350463
180127,165669,0.6074123978614807,0.6390907763471834,0.5325000286102295,0.57226294,"500 GeV: No signal, no Higgs pT, m",2023-11-28 15:26:34.987190
23322,22397,0.5316929221153259,0.5450130449669874,0.5722000002861023,0.61153818,"1000 GeV: With signal, no Higgs pT, m",2023-11-29 12:47:52.828033
23344,22369,0.5448818802833557,0.5627638546099769,0.5333999991416931,0.5360268800000001,"1000 GeV: No signal, no Higgs pT, m",2023-11-29 12:49:32.583665
23322,22397,0.5320866107940674,0.5425422240086941,0.5728999972343445,0.60139136,"1000 GeV: With signal, no Higgs pT, m",2023-11-29 12:51:36.613918
23322,22397,0.533661425113678,0.5463273889720095,0.567300021648407,0.6106428,"1000 GeV: With signal, no Higgs pT, m",2023-11-29 12:52:18.543149
23322,22397,0.5320866107940674,0.550171715310809,0.5422000288963318,0.55289156,"1000 GeV: With signal, no Higgs pT, m",2023-11-29 12:52:49.530780
23322,22397,0.539370059967041,0.5519317468470011,0.5612999796867371,0.5881692000000001,"1000 GeV: With signal, no Higgs pT, m",2023-11-29 12:53:37.780507
23322,22397,0.5285432934761047,0.5333339071133839,0.5989000201225281,0.65333266,"1000 GeV: With signal, no Higgs pT, m",2023-11-29 12:54:08.477407
23322,22397,0.534645676612854,0.5535739983971377,0.5742999911308289,0.5985218800000001,"1000 GeV: With signal, no Higgs pT, m",2023-11-29 12:54:54.708834
23322,22397,0.534645676612854,0.5447282484635101,0.6384000182151794,0.68453812,"1000 GeV: With signal, no Higgs pT, m",2023-11-29 12:55:32.864464
23322,22397,0.5309054851531982,0.5350669554796305,0.6230999827384949,0.70033948,"1000 GeV: With signal, no Higgs pT, m",2023-11-29 12:56:00.251437
23322,22397,0.5330708622932434,0.5438699820608442,0.6100000143051147,0.64673418,"1000 GeV: With signal, no Higgs pT, m",2023-11-29 12:56:33.548870
23344,22369,0.5338582396507263,0.5534101491002841,0.5658000111579895,0.59766952,"1000 GeV: No signal, no Higgs pT, m",2023-11-29 12:57:07.568395
23344,22369,0.5574803352355957,0.5743572965599862,0.5676000118255615,0.5700464000000001,"1000 GeV: No signal, no Higgs pT, m",2023-11-29 12:58:01.413259
23344,22369,0.5470472574234009,0.5653311494042794,0.5630999803543091,0.5800035800000001,"1000 GeV: No signal, no Higgs pT, m",2023-11-29 12:58:41.935307
23344,22369,0.5389763712882996,0.5545242815612861,0.5631999969482422,0.5819240999999999,"1000 GeV: No signal, no Higgs pT, m",2023-11-29 12:59:31.243932
23344,22369,0.5419291257858276,0.5642486411288966,0.5450999736785889,0.53887486,"1000 GeV: No signal, no Higgs pT, m",2023-11-29 13:00:20.922730
23344,22369,0.5271653532981873,0.5422289067069472,0.6202999949455261,0.68168404,"1000 GeV: No signal, no Higgs pT, m",2023-11-29 13:00:46.485785
23344,22369,0.5338582396507263,0.5537473962366289,0.5407000184059143,0.55265884,"1000 GeV: No signal, no Higgs pT, m",2023-11-29 13:01:32.560462
23344,22369,0.5429133772850037,0.5613196059564464,0.5740000009536743,0.5985225000000001,"1000 GeV: No signal, no Higgs pT, m",2023-11-29 13:02:16.916013
23344,22369,0.53562992811203,0.5486059082349843,0.5703999996185303,0.59566192,"1000 GeV: No signal, no Higgs pT, m",2023-11-29 13:02:49.319759
